artist_id,Name,Type,Popularity,Genres,Followers
1PwOU6fFbmaGkK3wkbb8fU,Cazuza,artist,58,"brazilian rock, mpb, rock nacional brasileiro",1930750
6vbY3hOaCAhC7VjucswgdS,Twista,artist,63,"chicago rap, dirty south rap, gangster rap, trap",1065291
2O8QAJmRrwkFXq2aWZnHYB,Shannon,artist,41,"freestyle, hi-nrg, minneapolis sound, post-disco",87120
7ceUfdWq2t5nbatS6ollHh,Paul Anka,artist,58,"adult standards, canadian pop, easy listening, rock-and-roll",688290
3Kf7VEIRWquxrNIuyJZnfF,Cornershop,artist,45,britpop,57540
3daM7asS0gCFvyLemNx2EE,The Romantics,artist,54,"album rock, heartland rock, mellow gold, new romantic, new wave, new wave pop, power pop, soft rock",415652
0dlOr0VIysztGWvU1dpjmP,Natalie Imbruglia,artist,61,"dance pop, europop, lilith, new wave pop, pop rock",986682
6FXMGgJwohJLUSr5nVlf9X,Massive Attack,artist,60,"downtempo, electronica, trip hop",2167461
0LVrQUinPUBFvVD5pLqmWY,Doves,artist,42,britpop,264437
2X3pNc13eRGofTO9Yt3sMi,Fishbone,artist,33,"funk metal, funk rock, ska, ska punk",116074
3WaJSfKnzc65VDgmj2zU8B,Interpol,artist,62,"alternative dance, alternative rock, indie rock, indietronica, modern rock, rock",1688589
3IXBujNySf3RBaGjDI8dqm,Jane Wiedlin,artist,30,"candy pop, new wave pop",10694
3HVdAiMNjYrQIKlOGxoGh5,Rob Zombie,artist,64,"alternative metal, hard rock, industrial metal, industrial rock, nu metal, post-grunge, rock",2915340
7nBZYpVAH6bD0QlD7Mpil7,Marc Almond,artist,38,"new romantic, new wave pop, solo wave, sophisti-pop, synthpop",88082
66riGCPfih1Xqk81dDvpvf,Lagwagon,artist,44,"punk, ska, skate punk, socal pop punk",268126
6YZOLlgZ38qVDSxVv9xg0G,Manzanita,artist,43,"flamenco, pop flamenco, rumba",159454
57ALvbCBaCkNlgTOSiUPdT,Aaron Neville,artist,51,,129575
0nq64XZMWV1s7XHXIkdH7K,The Wonder Years,artist,48,"alternative emo, anthem emo, emo, philly indie, pop punk",271478
646StQO8yxIiI3niu1OHnG,Sandra,artist,53,"eurodance, europop, italo disco",350710
2SwRWWKpFqktihz7o2rfYX,Tracie Spencer,artist,32,"contemporary r&b, new jack swing",146776
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,artist,75,"dance pop, pop",11941101
7GGv4mV9JTJK9e7nIzUliU,The Moldy Peaches,artist,45,"anti-folk, lo-fi",151500
0bz9hDpUbAw5JElgEiuIYZ,Matt Redman,artist,55,"ccm, christian alternative rock, christian music",629060
